Fernando Muslera , Galatasaray
Oğuzhan Akgün , Beşiktaş
Atiba Hutchinson , Beşiktaş
Fernando Muslera , Galatasaray
Simon Kjaer , Fenerbahçe
Umut Meras , Beşiktaş
Olimpiu Vasile Morutan , Galatasaray
Gustavo Henrique , Fenerbahçe
Efe Akman , Galatasaray
Çağtay Kurukalıp , Fenerbahçe
Bright Osavi-Samuel , Fenerbahçe
Emre Bilgin , Beşiktaş
Jankat Yilmaz , Galatasaray
Valentin Rosier , Beşiktaş
Baran Demiroglu , Galatasaray
Yusuf Kocaturk , Fenerbahçe
Sergio Oliveira , Galatasaray
Diego Rossi , Fenerbahçe
Osman Ertuğrul Çetin , Fenerbahçe
Burak Selver Yıldız , Beşiktaş
Serdar Aziz , Fenerbahçe
Kerem Kesgin , Beşiktaş
Muhammed Kerem Aktürkoğlu , Galatasaray
Ferdi Kadioglu , Fenerbahçe
Luan Peres , Fenerbahçe
